INDEX,SPMCODE,Collector_no,Alt_Coll_No,TAXA-Current_determination,Collection_date,Collectors,OWNER,Country,State_Province_Region_territory,substate,substateRank,Site,Protected,habitat,associates,DBH-cm,Height-m,plantAttributesOther,Determination_HIST_PIPED,Determined_by,Determined_date,determination_reasoning_notes,sourceInstitution,livingCollectionsNumber,OrigSourceInfo,Original Source- Cultivated,latitude.orig,longitude.orig,Elevation-USETHIS,coordinatesSource,photos,Collecting_Extracting_notes,Project,DNA_location,voucher1,voucher2,voucher3,otherVouchers,MOR_Acc_Num,SPM_voucher,Voucher_Notes,Mira used for:,Wild_Arb_GH_Collected,latitude_georef,longitude_georef,Georeference_source,country-georef,state_province_georef,County_georef,City_georef,HYB-SEQ-EXTRACT,Hyb-SEQ subproject,HYB-SEQ Sequenced On,Hyb-SEQ_filename1,Hyb-SEQ_filename2,HYB-SEQ notes,HYB-SEQ_BioProject,Hyb-SEQ-SRA_library_ID,SRA_biosample_accession,HYB-SEQ SRA_title_correct_LOCALITY_INFO,Lookup-SUBGENUS-by-CurrentTAXA,LOOKUP-section-by-currentTAXA,Lookup-CLADE0by-CurrentTAXA,GABE-TEMP
1340,QUE001340,IL-LAKESTOREY-NS8,IL-LS-NS8,Quercus macrocarpa,7/2/15,Nick Steichmann,HIPP,USA,IL,Knox,County,"Galesburg, Lake Storey, Along Service Drive off N. Lake Storey Rd",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180535,MOR<USA-IL>: Steichmann IL-LAKESTOREY-NS8,,,wild,40.990751,-90.398207,"Google Maps to Lake Story Park in Galesburg, IL",USA,Illinois,,,OAK-MOR-000771,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000771_S238_L007_R1_001.fastq.gz,OAK-MOR-000771_S238_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001340
1341,QUE001341,IL-LAKESTOREY-NS9,IL-LS-NS9,Quercus macrocarpa,7/2/15,Nick Steichmann,HIPP,USA,IL,Knox,County,"Galesburg, Lake Storey, Along Path on W. side of soccer field",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180534,MOR<USA-IL>: Steichmann IL-LAKESTOREY-NS9,,,wild,40.990751,-90.398207,"Google Maps to Lake Story Park in Galesburg, IL",USA,Illinois,,,OAK-MOR-000746,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000746_S224_L007_R1_001.fastq.gz,OAK-MOR-000746_S224_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001341
1342,QUE001342,IL-LAKESTOREY-NS10,IL-LS-NS10,Quercus macrocarpa,7/2/15,Nick Steichmann,HIPP,USA,IL,Knox,County,"Galesburg, Lake Storey, Along Path on W. side of soccer field",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180533,MOR<USA-IL>: Steichmann IL-LAKESTOREY-NS10,,,wild,40.990751,-90.398207,"Google Maps to Lake Story Park in Galesburg, IL",USA,Illinois,,,OAK-MOR-000747,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000747_S274_L007_R1_001.fastq.gz,OAK-MOR-000747_S274_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001342
1343,QUE001343,IL-LAKESTOREY-NS11,IL-LS-NS11,Quercus macrocarpa,7/2/15,Nick Steichmann,HIPP,USA,IL,Knox,County,"Galesburg, Lake Storey, South of soccer field",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180544,MOR<USA-IL>: Steichmann IL-LAKESTOREY-NS11,,,wild,40.990751,-90.398207,"Google Maps to Lake Story Park in Galesburg, IL",USA,Illinois,,,OAK-MOR-000748,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000748_S264_L007_R1_001.fastq.gz,OAK-MOR-000748_S264_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001343
1344,QUE001344,IL-LAKESTOREY-NS12,IL-LS-NS12,Quercus macrocarpa,7/2/15,Nick Steichmann,HIPP,USA,IL,Knox,County,"Galesburg, Lake Storey, Access road S. of Soccer field",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180543,MOR<USA-IL>: Steichmann IL-LAKESTOREY-NS12,,,wild,40.990751,-90.398207,"Google Maps to Lake Story Park in Galesburg, IL",USA,Illinois,,,OAK-MOR-000749,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000749_S272_L007_R1_001.fastq.gz,OAK-MOR-000749_S272_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001344
1345,QUE001345,IL-LAKESTOREY-NS13,IL-LS-NS13,Quercus macrocarpa,7/2/15,Nick Steichmann,HIPP,USA,IL,Knox,County,"Galesburg, Lake Storey, Access road S. of Soccer field",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180540,MOR<USA-IL>: Steichmann IL-LAKESTOREY-NS13,,,wild,40.990751,-90.398207,"Google Maps to Lake Story Park in Galesburg, IL",USA,Illinois,,,OAK-MOR-000750,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000750_S276_L007_R1_001.fastq.gz,OAK-MOR-000750_S276_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001345
1346,QUE001346,IL-LAKESTOREY-NS14,IL-LS-NS14,Quercus macrocarpa,7/2/15,Nick Steichmann,HIPP,USA,IL,Knox,County,"Galesburg, Lake Storey, Access road S. of Soccer field",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180542,MOR<USA-IL>: Steichmann IL-LAKESTOREY-NS14,,,wild,40.990751,-90.398207,"Google Maps to Lake Story Park in Galesburg, IL",USA,Illinois,,,OAK-MOR-000751,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000751_S278_L007_R1_001.fastq.gz,OAK-MOR-000751_S278_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001346
1347,QUE001347,IL-LAKESTOREY-NS15,IL-LS-NS15,Quercus macrocarpa,7/3/15,Nick Steichmann,HIPP,USA,IL,Knox,County,"Galesburg, Lake Storey, Along lake SE of playground",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180550,MOR<USA-IL>: Steichmann IL-LAKESTOREY-NS15,,,wild,40.990751,-90.398207,"Google Maps to Lake Story Park in Galesburg, IL",USA,Illinois,,,OAK-MOR-000752,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000752_S281_L007_R1_001.fastq.gz,OAK-MOR-000752_S281_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001347
1348,QUE001348,IL-LAKESTOREY-NS16,IL-LS-NS16,Quercus macrocarpa,7/3/15,Nick Steichmann,HIPP,USA,IL,Knox,County,"Galesburg, Lake Storey, Along Lake E. of playground",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180549,MOR<USA-IL>: Steichmann IL-LAKESTOREY-NS16,,,wild,40.990751,-90.398207,"Google Maps to Lake Story Park in Galesburg, IL",USA,Illinois,,,OAK-MOR-000753,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000753_S275_L007_R1_001.fastq.gz,OAK-MOR-000753_S275_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001348
1349,QUE001349,IL-LAKESTOREY-NS17,IL-LS-NS17,Quercus macrocarpa,7/3/15,Nick Steichmann,HIPP,USA,IL,Knox,County,"Galesburg, Lake Storey, Along Lake E. of playground",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180548,MOR<USA-IL>: Steichmann IL-LAKESTOREY-NS17,,,wild,40.990751,-90.398207,"Google Maps to Lake Story Park in Galesburg, IL",USA,Illinois,,,OAK-MOR-000754,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000754_S249_L007_R1_001.fastq.gz,OAK-MOR-000754_S249_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001349
1350,QUE001350,IL-LAKESTOREY-NS18,IL-LS-NS18,Quercus macrocarpa,7/3/15,Nick Steichmann,HIPP,USA,IL,Knox,County,"Galesburg, Lake Storey, Along bridge N. of playground",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180547,MOR<USA-IL>: Steichmann IL-LAKESTOREY-NS18,,,wild,40.990751,-90.398207,"Google Maps to Lake Story Park in Galesburg, IL",USA,Illinois,,,OAK-MOR-000755,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000755_S258_L007_R1_001.fastq.gz,OAK-MOR-000755_S258_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001350
1351,QUE001351,IL-LAKESTOREY-NS19,IL-LS-NS19,Quercus macrocarpa,7/3/15,Nick Steichmann,HIPP,USA,IL,Knox,County,"Galesburg, Lake Storey, On E. side of path leading N. from playground",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180545,MOR<USA-IL>: Steichmann IL-LAKESTOREY-NS19,,,wild,40.990751,-90.398207,"Google Maps to Lake Story Park in Galesburg, IL",USA,Illinois,,,OAK-MOR-000756,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000756_S256_L007_R1_001.fastq.gz,OAK-MOR-000756_S256_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001351
1352,QUE001352,IL-LAKESTOREY-NS20,IL-LS-NS20,Quercus macrocarpa,7/3/15,Nick Steichmann,HIPP,USA,IL,Knox,County,"Galesburg, Lake Storey, Along trail at NE corner of lake",,,,,,,Quercus macrocarpa Michx.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180546,MOR<USA-IL>: Steichmann IL-LAKESTOREY-NS20,,,wild,40.990751,-90.398207,"Google Maps to Lake Story Park in Galesburg, IL",USA,Illinois,,,OAK-MOR-000757,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000757_S270_L007_R1_001.fastq.gz,OAK-MOR-000757_S270_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001352
1353,QUE001353,IL-PPWS-NS1,,Quercus bicolor,,Nick Steichmann,HIPP,USA,IL,Kane,County,"Aurora, Prairie Path Woodland Swamp, W. edge of forest N. of school.",,,,,,,Quercus bicolor Willd.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180526,MOR<USA-IL>: Steichmann IL-PPWS-NS1,,,wild,41.78847,-88.271648,Google Maps to Priarie Path Woodland Swamp,USA,Illinois,,,OAK-MOR-000758,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000758_S288_L007_R1_001.fastq.gz,OAK-MOR-000758_S288_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001353
1354,QUE001354,IL-PPWS-NS2,,Quercus bicolor,,Nick Steichmann,HIPP,USA,IL,Kane,County,"Aurora, Prairie Path Woodland Swamp, W. edge of forest N. of school.",,,,,,,Quercus bicolor Willd.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180525,MOR<USA-IL>: Steichmann IL-PPWS-NS2,,,wild,41.78847,-88.271648,Google Maps to Priarie Path Woodland Swamp,USA,Illinois,,,OAK-MOR-000759,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000759_S263_L007_R1_001.fastq.gz,OAK-MOR-000759_S263_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001354
1355,QUE001355,IL-PPWS-NS3,,Quercus bicolor,,Nick Steichmann,HIPP,USA,IL,Kane,County,"Aurora, Prairie Path Woodland Swamp, W. edge of forest N. of school.",,,,,,,Quercus bicolor Willd.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180524,MOR<USA-IL>: Steichmann IL-PPWS-NS3,,,wild,41.78847,-88.271648,Google Maps to Priarie Path Woodland Swamp,USA,Illinois,,,OAK-MOR-000760,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000760_S284_L007_R1_001.fastq.gz,OAK-MOR-000760_S284_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001355
1356,QUE001356,IL-PPWS-NS4,,Quercus bicolor,,Nick Steichmann,HIPP,USA,IL,Kane,County,"Aurora, Prairie Path Woodland Swamp, W. edge of forest N. of school, 20 ft into forest.",,,,,,,Quercus bicolor Willd.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180523,MOR<USA-IL>: Steichmann IL-PPWS-NS4,,,wild,41.78847,-88.271648,Google Maps to Priarie Path Woodland Swamp,USA,Illinois,,,OAK-MOR-000761,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000761_S271_L007_R1_001.fastq.gz,OAK-MOR-000761_S271_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001356
1357,QUE001357,IL-PPWS-NS5,,Quercus bicolor,,Nick Steichmann,HIPP,USA,IL,Kane,County,"Aurora, Prairie Path Woodland Swamp, W. edge of forest N. of school, 40 ft into forest",,,,,,,Quercus bicolor Willd.,,,,,,,,,,,,,,hybridization across Burr Oak Range,MOR,The Morton Arboretum (MOR),,,,180522,MOR<USA-IL>: Steichmann IL-PPWS-NS5,,,wild,41.78847,-88.271648,Google Maps to Priarie Path Woodland Swamp,USA,Illinois,,,OAK-MOR-000762,Hyb-SEQ-macrocarpa,Illumina HiSeq 4000,OAK-MOR-000762_S247_L007_R1_001.fastq.gz,OAK-MOR-000762_S247_L007_R2_001.fastq.gz,,,,,HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois,subg. Quercus,Quercus,Prinoideae,QUE001357
