ind_ID,site
QUE002310,KonzaKS
QUE002313,ThreeRiversMI
QUE002314,ThreeRiversMI
QUE002315,ThreeRiversMI
QUE002319,ThreeRiversMI
QUE002324,ThreeRiversMI
QUE002326,PinconningMI
QUE002331,PinconningMI
QUE002335,PinconningMI
QUE002336,AnnArborMI
QUE002337,AnnArborMI
QUE002338,AnnArborMI
QUE002339,AnnArborMI
QUE002341,AnnArborMI
QUE002342,AnnArborMI
QUE002346,EastLansingMI
QUE002347,EastLansingMI
QUE002351,EastLansingMI
QUE002355,EastLansingMI
QUE002356,EastLansingMI
QUE002360,EastLansingMI
QUE002361,EastLansingMI
QUE002362,EastLansingMI
QUE002363,DodgevilleWI
QUE002364,DodgevilleWI
QUE002365,DodgevilleWI
QUE002366,DodgevilleWI
QUE002367,DodgevilleWI
QUE002368,DodgevilleWI
QUE002369,DodgevilleWI
QUE002370,DodgevilleWI
QUE002371,DodgevilleWI
QUE002373,DodgevilleWI
QUE002374,DodgevilleWI
QUE002375,DodgevilleWI
QUE002379,DodgevilleWI
QUE002383,DodgevilleWI
QUE002384,OttawaWI
QUE002385,OttawaWI
QUE002392,OttawaWI
QUE002393,OttawaWI
QUE002399,OttawaWI
QUE002400,OttawaWI
QUE002404,MadisonWI
QUE002410,MadisonWI
QUE002411,MadisonWI
QUE002416,MadisonWI
QUE002417,MadisonWI
QUE002422,MadisonWI
QUE002424,OttawaBluffsMN
QUE002427,OttawaBluffsMN
QUE002430,OttawaBluffsMN
QUE002433,QuarryParkMN
QUE002436,QuarryParkMN
QUE002443,QuarryParkMN
QUE002445,TwinCitiesMN
QUE002450,TwinCitiesMN
QUE002453,TwinCitiesMN
QUE002454,FortWayneIN
QUE002455,FortWayneIN
QUE002459,FortWayneIN
QUE002460,PearlKingOH
QUE002463,PearlKingOH
QUE002467,PearlKingOH
QUE002471,DaughmerOH
QUE002474,DaughmerOH
QUE002478,DaughmerOH
QUE002480,GollWoodsOH
QUE002481,GollWoodsOH
QUE002484,GollWoodsOH
QUE002487,GollWoodsOH
QUE002488,GollWoodsOH
QUE002492,GollWoodsOH
QUE002493,GollWoodsOH
QUE002494,GollWoodsOH
QUE002495,CranberrySloughIL
QUE002496,CranberrySloughIL
QUE002502,CranberrySloughIL
QUE002503,CranberrySloughIL
QUE002510,CranberrySloughIL
QUE002511,CranberrySloughIL
QUE002515,GooseLakeIL
QUE002518,GooseLakeIL
QUE002520,GooseLakeIL
QUE002521,RyersonWoodsIL
QUE002522,RyersonWoodsIL
QUE002526,RyersonWoodsIL
QUE002527,RyersonWoodsIL
QUE002528,RyersonWoodsIL
QUE002529,RyersonWoodsIL
QUE002531,RyersonWoodsIL
QUE002533,RyersonWoodsIL
QUE002534,RyersonWoodsIL
QUE002535,FullersburgWoodsIL
QUE002536,FullersburgWoodsIL
QUE002539,FullersburgWoodsIL
QUE002542,FullersburgWoodsIL
QUE002544,FullersburgWoodsIL
QUE002555,FullersburgWoodsIL
QUE002556,FullersburgWoodsIL
QUE002558,FullersburgWoodsIL
QUE002559,FullersburgWoodsIL
QUE002560,MiddleforkIL
QUE002564,MiddleforkIL
QUE002570,CusterSD
QUE002574,CusterSD
QUE002579,CusterSD
QUE002581,SpearfishSD
QUE002585,SpearfishSD
QUE002589,SpearfishSD
QUE002590,CedarCreekMN
QUE002595,SakatahLakeMN
QUE002599,SakatahLakeMN
QUE002601,TwinCitiesMN
QUE002608,SakatahLakeMN
QUE002613,AmesIA
QUE002614,AmesIA
QUE002615,AmesIA
QUE002616,AmesIA
QUE002617,AmesIA
QUE002628,NA
QUE002631,AustinMN
QUE002634,AustinMN
QUE002637,AustinMN
QUE002638,AustinMN
QUE002641,AustinMN
QUE002647,AustinMN
