CHROM	POS	MEAN_DEPTH	VAR_DEPTH
NC_044904.1	15922089	10.3092	45.9851
NC_044904.1	15922596	32.1813	230.281
NC_044904.1	15923209	11.8874	66.8606
NC_044904.1	15923736	16.4806	120.59
NC_044904.1	15925346	17.8434	83.7578
NC_044904.1	15925851	15.0028	77.0801
NC_044904.1	15926523	10.663	39.1603
NC_044904.1	15927040	36.9066	273.655
NC_044904.1	15927675	10.4478	44.5124
NC_044904.1	15928187	13.4945	59.314
NC_044904.1	15928700	31.3956	227.557
NC_044904.1	15929256	25.4533	195.053
NC_044904.1	16941312	10.169	34.7241
NC_044904.1	16941846	36.4753	271.842
NC_044904.1	16943554	9.09972	22.9011
NC_044904.1	16944368	45.2143	404.301
NC_044904.1	16944890	29.9808	200.768
NC_044904.1	16945430	30.728	220.645
NC_044904.1	16950048	10.41	35.0648
NC_044904.1	16951611	10.6326	44.2829
NC_044904.1	16952159	20.4011	112.307
NC_044904.1	16952835	10.8874	59.6595
NC_044904.1	16955625	39.4615	340.954
NC_044904.1	17991749	10.547	36.9244
NC_044904.1	17993047	11.3526	60.577
NC_044904.1	17995639	13.9451	60.2835
NC_044904.1	17998100	12.2094	56.6411
NC_044904.1	18001808	9.87293	32.3218
NC_044904.1	18005862	11.4558	46.9745
NC_044904.1	18006896	39.022	292.677
NC_044904.1	18007682	33.1758	262.939
NC_044904.1	18008446	10.525	39.8434
NC_044904.1	18009023	27.0879	155.981
NC_044904.1	18010295	17.9505	123.849
NC_044904.1	18010797	36.9286	278.992
NC_044904.1	19301528	12.5162	50.0552
NC_044904.1	20568295	14.9642	90.123
NC_044904.1	20568824	36.033	278.28
NC_044904.1	20572194	10.2143	35.1551
NC_044904.1	20573331	42.3764	395.486
NC_044904.1	21963368	20.6896	145.779
NC_044904.1	21964624	43.2692	410.897
NC_044904.1	21965626	14.5797	65.1259
NC_044904.1	21967701	11.2133	45.196
NC_044904.1	21968407	42.9808	346.366
NC_044904.1	21968912	19.6676	125.473
NC_044904.1	21970275	9.89167	36.2139
NC_044904.1	21970780	16.9643	107.263
NC_044904.1	21971874	18.544	145.174
NC_044904.1	21972406	19.239	154.7
NC_044904.1	21974043	10.6898	32.559
NC_044904.1	21974554	12.708	54.6769
NC_044904.1	21975071	15.6538	68.0066
NC_044904.1	22262552	9.75138	30.5807
NC_044904.1	22263052	18.1456	75.2046
NC_044904.1	22263658	10.1496	39.9665
NC_044904.1	22264166	39.3297	322.2
NC_044904.1	22265482	10.5679	39.3239
NC_044904.1	22266003	18.6346	146.012
NC_044904.1	22266506	39.6621	381.657
NC_044904.1	23609971	10.3222	34.0073
NC_044904.1	23610475	28.1291	170.912
NC_044904.1	23611164	41.772	369.389
NC_044904.1	23611897	43.1951	353.816
NC_044904.1	23612398	35.0907	268.716
NC_044904.1	23613776	12.708	78.3123
NC_044904.1	23614278	29.5742	232.047
NC_044904.1	23614781	9.56667	33.288
NC_044904.1	23615296	20.2308	110.768
NC_044904.1	23616501	13.9258	65.7548
NC_044904.1	23617036	31.0302	219.638
NC_044904.1	24421343	12.8209	87.4236
NC_044904.1	24423725	25.3819	285.284
NC_044904.1	24762563	11.8743	72.3119
NC_044904.1	24908102	13.4488	51.6369
NC_044904.1	24908611	16.6942	71.7212
NC_044904.1	24912026	9.46537	31.1717
NC_044904.1	24914139	12.169	44.9908
NC_044904.1	24914644	27.9148	161.02
NC_044904.1	24915331	16.0468	74.7685
NC_044904.1	24915833	15.349	79.2834
NC_044904.1	24916882	12.163	47.9928
NC_044904.1	24918601	37.9429	330.495
NC_044904.1	24919110	38.0769	376.65
NC_044904.1	24919627	30.3489	203.77
NC_044904.1	24920132	30.8626	242.246
NC_044904.1	24920638	34.2088	272.722
NC_044904.1	24921559	10.036	33.4848
NC_044904.1	24922949	25.5797	153.115
NC_044904.1	24923537	38.9478	286.727
NC_044904.1	25567466	10.6288	46.2618
NC_044904.1	25567966	20.3736	112.262
NC_044904.1	25860236	9.39276	36.1665
NC_044904.1	25862491	11.2238	62.019
NC_044904.1	25863041	42.1126	391.582
NC_044904.1	25891475	12.7995	54.7007
NC_044904.1	25892485	43.8846	369.067
NC_044904.1	25893621	14.3599	71.0189
NC_044904.1	25894122	30.522	332.537
NC_044904.1	25894943	41.7363	528.624
NC_044904.1	25895504	43.6236	402.263
NC_044904.1	25896010	21.5632	138.858
NC_044904.1	25896527	28.1621	161.409
NC_044904.1	26238884	13.2133	87.0683
NC_044904.1	26239407	26.4808	202.118
NC_044904.1	26239910	34.1813	263.047
NC_044904.1	26240428	16.8788	86.267
NC_044904.1	26243158	11.8338	63.2223
NC_044904.1	26243793	37.3819	298.969
NC_044904.1	26245183	11.8571	56.0952
NC_044904.1	26245717	15.9286	89.0693
NC_044904.1	26246239	34.8187	251.174
NC_044904.1	26247423	9.79063	30.724
NC_044904.1	26248164	12.0165	65.7904
NC_044904.1	26248697	23.6621	187.029
NC_044904.1	26249308	38.0082	289.6
NC_044904.1	26250056	12.9556	106.75
NC_044904.1	26251296	41.4286	374.736
NC_044904.1	26814015	12.9335	79.5845
NC_044904.1	26814890	41.4588	415.918
NC_044904.1	26815548	10.2727	39.8508
NC_044904.1	26816055	39.3187	356.873
NC_044904.1	26816561	15.9451	133.584
NC_044904.1	26817068	37.5055	335.661
NC_044904.1	26817569	21.1868	94.1083
NC_044904.1	27357390	10.928	39.3504
NC_044904.1	27358625	33.478	226.636
NC_044904.1	27359529	10.5442	42.7806
NC_044904.1	27360031	17.2527	87.407
NC_044904.1	27361234	9.18283	25.3665
NC_044904.1	27362608	9.1708	25.468
NC_044904.1	29787675	11.5069	36.6618
NC_044904.1	30422705	10.4222	35.1694
NC_044904.1	30423224	42.1484	420.016
NC_044904.1	30424198	32.6309	219.151
NC_044904.1	30424940	41.8352	397.427
NC_044904.1	30425444	37.75	319.014
NC_044904.1	30425950	16.6022	104.977
NC_044904.1	30426475	12.9918	57.5784
NC_044904.1	30426990	17.8352	87.4438
NC_044904.1	34707104	11.3075	51.2635
NC_044904.1	34712878	10.805	36.7663
NC_044904.1	34713385	10.1676	36.4484
NC_044904.1	34904502	9.78947	34.95
NC_044904.1	34907020	11.279	57.005
NC_044904.1	34907566	41.8214	459.69
NC_044904.1	34921214	28.9377	589.547
NC_044904.1	34977995	10.7989	39.7191
NC_044904.1	35170117	14.4669	98.4712
NC_044904.1	35175548	34.2115	234.509
NC_044904.1	38107841	11.4918	65.7548
NC_044904.1	38110112	12.2633	65.1046
NC_044904.1	38110632	26.533	239.148
NC_044904.1	38112546	10.6826	46.6398
NC_044904.1	38113538	40.3049	507.017
NC_044904.1	38114627	42.1374	375.634
NC_044904.1	38933174	12.7994	75.3279
NC_044904.1	38933677	17.7611	173.375
NC_044904.1	39169453	9.45604	32.1
NC_044904.1	39170429	39.7637	368.693
NC_044904.1	39610059	12.1129	73.1005
NC_044904.1	39612059	37.4011	305.569
NC_044904.1	39612564	14.5769	102.834
NC_044904.1	39613077	39.5495	340.155
NC_044904.1	39614594	12.0604	49.3242
NC_044904.1	39615095	21.022	111.757
NC_044904.1	40139138	16.3994	75.4284
NC_044904.1	40139969	12.2912	82.24
NC_044904.1	40140502	34.3214	305.987
NC_044904.1	40141006	25.3626	146.447
NC_044904.1	40142061	11.4986	55.4062
NC_044904.1	40142563	11.6374	65.2235
NC_044904.1	40143064	10.3536	39.8414
NC_044904.1	40143567	25.6236	172.219
NC_044904.1	41533193	18.2056	212.785
NC_044904.1	41533813	19.6723	267.564
NC_044904.1	41534877	21.1194	196.59
NC_044904.1	41535395	32.3051	433.601
NC_044904.1	41564502	10.27	38.6672
NC_044904.1	41565187	44.1126	361.775
NC_044904.1	44337267	10.5758	49.5212
NC_044904.1	44338627	41.1731	333.763
NC_044904.1	45239387	12.3444	77.0662
NC_044904.1	45240196	36.0632	304.368
NC_044904.1	45242945	10.9668	53.5711
NC_044904.1	45243477	17.4011	82.4007
NC_044904.1	45247343	11.4959	51.3004
NC_044904.1	45247847	13.1291	51.3579
NC_044904.1	45248558	11.3379	44.0535
NC_044904.1	45249192	40.7637	294.385
NC_044904.1	45249700	27.1786	164.136
NC_044904.1	48657090	11.7258	56.5496
NC_044904.1	48657603	34.2473	244.302
NC_044904.1	48658820	20.3168	173.521
NC_044904.1	48659531	43.0165	345.564
NC_044904.1	53059151	27.8077	354.486
NC_044904.1	55502206	9.57183	30.7653
NC_044904.1	55503274	12.9613	67.3337
NC_044904.1	55503774	32.0632	251.31
NC_044904.1	55577931	31.9093	343.559
NC_044904.1	55578487	15.766	163.102
NC_044905.1	370003	11.2122	46.3018
NC_044905.1	371059	41.2445	411.133
NC_044905.1	372171	45.3709	430.284
NC_044905.1	1438125	8.5978	22.6555
NC_044905.1	1438688	16.3984	111.557
NC_044905.1	1439236	28.2665	157.061
NC_044905.1	1441081	11.1956	41.9699
NC_044905.1	1441591	26.9918	160.377
NC_044905.1	1445062	9.49582	26.5579
NC_044905.1	1445577	18.5714	87.1436
NC_044905.1	1446133	34.2143	233.475
NC_044905.1	1446650	19.5766	137.751
NC_044905.1	3917897	19.972	148.319
NC_044905.1	5447644	12.4807	86.1063
NC_044905.1	5448170	25.7885	210.762
NC_044905.1	5453548	14.3743	83.6522
NC_044905.1	5454578	43.1429	523.451
NC_044905.1	5456192	16.9003	150.435
NC_044905.1	5456927	29.1411	304.616
NC_044905.1	5459583	10.4693	48.5243
NC_044905.1	5460085	29.8489	209.153
NC_044905.1	7607023	12.7115	129.445
NC_044905.1	7607528	18.0412	88.53
NC_044905.1	7691396	12.0111	51.1554
NC_044905.1	7691909	18.8459	105.962
NC_044905.1	7893054	10.4665	45.7398
NC_044905.1	7893563	10.6501	36.6425
NC_044905.1	7896457	10.5302	37.9467
NC_044905.1	7896960	11.5522	43.4766
NC_044905.1	7897621	10.6364	41.9613
NC_044905.1	7899060	11.9199	60.9769
NC_044905.1	8411892	12.3884	45.7852
NC_044905.1	8433673	11.5928	52.4587
NC_044905.1	8434321	38.8407	336.278
NC_044905.1	8437290	10.6417	41.2111
NC_044905.1	8440441	10.0866	43.0821
NC_044905.1	8440953	32.3132	233.544
NC_044905.1	8441602	13.9917	114.235
NC_044905.1	8442102	29.3462	302.552
NC_044905.1	8559029	11.2632	49.6944
NC_044905.1	10551290	10.5082	47.9641
NC_044905.1	10551790	30.4286	213.171
NC_044905.1	10552294	20.6786	120.373
NC_044905.1	10552800	26.5714	234.791
NC_044905.1	10554050	35.2637	345.363
NC_044905.1	10555062	9.74373	31.4928
NC_044905.1	10555626	43.0302	434.035
NC_044905.1	10556518	12.3581	73.0482
NC_044905.1	10557023	28.1896	201.901
NC_044905.1	10557684	41.2225	363.573
NC_044905.1	10558233	42.0192	357.705
NC_044905.1	10937352	12.2645	68.9243
NC_044905.1	10937863	33.8864	397.54
NC_044905.1	10939661	9.46281	33.0173
NC_044905.1	10940271	40.1786	418.863
NC_044905.1	11135646	10.5125	31.6894
NC_044905.1	11136527	10.8485	55.2228
NC_044905.1	11139597	42.7775	351.733
NC_044905.1	11140322	11.2825	49.0755
NC_044905.1	11141326	39.7308	485.068
NC_044905.1	11974087	11.5263	41.8278
NC_044905.1	11974788	36.5302	268.487
NC_044905.1	11976918	13.5069	65.77
NC_044905.1	11977426	31.8324	242.338
NC_044905.1	11978425	9.44475	28.9457
NC_044905.1	11980709	11.6099	47.5444
NC_044905.1	11981231	31.9588	209.191
NC_044905.1	11982272	9.53782	31.5976
NC_044905.1	11983177	10.8736	54.5845
NC_044905.1	11983746	38.8736	336.496
NC_044905.1	11986066	11.1513	68.8759
NC_044905.1	11989777	31.7473	220.2
NC_044905.1	12949442	12.8159	63.7043
NC_044905.1	12950688	38.0137	363.209
NC_044905.1	12966112	11.837	50.0149
NC_044905.1	12966623	17.4286	84.207
NC_044905.1	12967254	8.88462	24.8021
NC_044905.1	14260850	8.45	22.6103
NC_044905.1	14275568	9.97765	38.5933
NC_044905.1	14287282	12.259	76.7615
NC_044905.1	14287819	29.4258	191.738
NC_044905.1	14289215	13.761	49.2072
NC_044905.1	14289716	18.533	140.608
NC_044905.1	14290234	42.8132	418.45
NC_044905.1	14290748	14.157	57.5968
NC_044905.1	14291259	16.7473	75.9194
NC_044905.1	14291762	12.3214	47.3592
NC_044905.1	14292273	10.072	52.0892
NC_044905.1	14292959	41.8187	346.788
NC_044905.1	14294152	37.3132	275.797
NC_044905.1	14348907	9.24791	25.4216
NC_044905.1	14349930	13.195	72.4479
NC_044905.1	14350449	18.674	137.013
NC_044905.1	14351799	10.6243	55.0718
NC_044905.1	14352954	45.4533	664.485
NC_044905.1	14420105	9.82094	32.3629
NC_044905.1	14420610	28.7198	179.122
NC_044905.1	14421405	43.0302	366.801
NC_044905.1	14421917	21.0769	175.752
NC_044905.1	14422492	43.206	406.241
NC_044905.1	14436011	10.7225	48.8787
NC_044905.1	14437259	10.3158	37.3056
NC_044905.1	15196394	10.7885	37.4675
NC_044905.1	15197698	10.649	45.9156
NC_044905.1	15199312	9.8	31.7538
NC_044905.1	15334631	15.3444	115.453
NC_044905.1	15335837	41.6044	390.532
NC_044905.1	15336601	35.9368	268.599
NC_044905.1	15337618	8.93646	21.6054
NC_044905.1	15338333	38.8022	306.043
NC_044905.1	15339424	10.2845	38.6252
NC_044905.1	15339951	29.5769	215.462
NC_044905.1	15340459	43.1786	362.109
NC_044905.1	15997896	17.9231	86.7489
NC_044905.1	15998498	40.8599	312.655
NC_044905.1	15999159	41.2582	404.727
NC_044905.1	16124635	11.5604	56.4344
NC_044905.1	16126132	40.7418	368.93
NC_044905.1	16445767	9.07692	26.7599
NC_044905.1	16446269	11.7163	59.364
NC_044905.1	16446834	11.0193	50.1077
NC_044905.1	16447339	22.217	119.3
NC_044905.1	16448340	11.097	44.9711
NC_044905.1	16449970	20.011	120.518
NC_044905.1	16450477	28.9725	194.578
NC_044905.1	16450981	25.8626	190.951
NC_044905.1	16451629	42.0495	325.639
NC_044905.1	16452583	9.72222	32.4184
NC_044905.1	16453423	10.1722	31.948
NC_044905.1	16454716	13.478	75.8645
NC_044905.1	16455246	41.1868	369.375
NC_044905.1	16455857	12.4066	66.9857
NC_044905.1	16456378	34.3104	250.419
NC_044905.1	16456960	36.6429	291.547
NC_044905.1	16457473	27.4918	159.623
NC_044905.1	16457975	13.3049	62.2511
NC_044905.1	16458493	35.3654	256.811
NC_044905.1	16458996	33.7692	225.726
NC_044905.1	16459502	22.5934	105.807
NC_044905.1	16460319	9.93906	36.0074
NC_044905.1	16460847	19.1484	84.4683
NC_044905.1	16461357	12.0907	41.5813
NC_044905.1	16462103	19.9088	206.909
NC_044905.1	16539707	8.8595	21.8338
NC_044905.1	16540591	42.2308	338.035
NC_044905.1	16541093	31.9176	213.508
NC_044905.1	16541593	15.3434	102.711
NC_044905.1	16542214	43.3324	389.639
NC_044905.1	16542742	39.761	335.587
NC_044905.1	16543254	31.8237	238.494
NC_044905.1	16692797	14.2348	94.8173
NC_044905.1	16693578	36.3984	344.025
NC_044905.1	16694139	12.0642	65.6345
NC_044905.1	16694642	11.2912	42.3172
NC_044905.1	16696730	12.7163	70.2259
NC_044905.1	16697233	39	313.521
NC_044905.1	16698229	11.3934	49.456
NC_044905.1	16699416	9.49587	27.6706
NC_044905.1	17059308	12.0083	43.8919
NC_044905.1	17059826	33.9713	301.804
NC_044905.1	17060328	38.9396	330.316
NC_044905.1	17061317	9.53444	31.7854
NC_044905.1	17069026	10.6528	44.0212
NC_044905.1	17069594	39.1044	353.636
NC_044905.1	17070179	11.3296	56.8605
NC_044905.1	17070690	29.0357	177.963
NC_044905.1	17072437	10.1662	43.3945
NC_044905.1	17073346	42.1593	398.498
NC_044905.1	17090137	9.91758	38.3623
NC_044905.1	17095760	10.5124	35.5378
NC_044905.1	17096266	28.9231	221.283
NC_044905.1	17096793	35.9011	272.178
NC_044905.1	17097483	11.961	45.1493
NC_044905.1	18896178	15.9587	109.559
NC_044905.1	18896719	44.217	420.242
NC_044905.1	18898725	10.2348	40.3741
NC_044905.1	18900114	28.704	435.736
NC_044905.1	18901432	14.0632	79.299
NC_044905.1	18901933	39.0412	420.822
NC_044905.1	18903545	12.3857	87.5249
NC_044905.1	18904645	42.4396	540.572
NC_044905.1	18905689	10.9834	55.3238
NC_044905.1	18906232	39.2308	464.404
NC_044905.1	18906749	15.3232	120.651
NC_044905.1	18907520	34.9588	394.332
NC_044905.1	19649880	9.61326	28.6755
NC_044905.1	19650389	35.0275	244.589
NC_044905.1	19650889	31.0687	198.554
NC_044905.1	19652395	41.5467	474.028
NC_044905.1	19652914	34.728	309.141
NC_044905.1	19673099	10.1653	50.0721
NC_044905.1	19673628	10.9104	52.8459
NC_044905.1	19674143	14.6804	55.4335
NC_044905.1	19674643	23.7218	143.19
NC_044905.1	19676107	11.4751	69.1697
NC_044905.1	19676884	41.9615	346.329
NC_044905.1	19677407	31.5687	234.951
NC_044905.1	19681596	10.8892	66.9821
NC_044905.1	19682144	41.8929	467.969
NC_044905.1	19682677	36.0522	367.658
NC_044905.1	19683193	16.3874	87.7035
NC_044905.1	19687115	12.5124	57.0295
NC_044905.1	19689732	13.6346	91.3895
NC_044905.1	19690794	43.6951	378.471
NC_044905.1	19692777	10.1022	32.8122
NC_044905.1	19693818	14.3819	85.6637
NC_044905.1	19694488	41.7335	369.998
NC_044905.1	19696149	11.8269	44.7881
NC_044905.1	21261667	11.3667	66.6006
NC_044905.1	21262168	37.7747	345.409
NC_044905.1	21262862	43.0771	414.198
NC_044905.1	21264166	9.41484	31.8137
NC_044905.1	21266089	10.4613	48.0165
NC_044905.1	21266948	37.5989	323.8
NC_044905.1	21396746	13.3516	84.9834
NC_044905.1	21397270	24.0962	144.688
NC_044905.1	21400911	11.1833	55.3813
NC_044905.1	21401429	23.8462	132.957
NC_044905.1	21402204	13.6685	60.5879
NC_044905.1	21403482	38.772	277.708
NC_044905.1	21404114	13.7569	93.0322
NC_044905.1	21404825	42.5824	425.489
NC_044905.1	21405495	14.595	98.2803
NC_044905.1	21406021	19.5495	126.028
NC_044905.1	21406539	43.9835	375.983
NC_044905.1	21871238	11.8654	51.1967
NC_044905.1	21872232	42.7775	394.162
NC_044905.1	21873474	11.8536	42.3414
NC_044905.1	21874007	33.2912	271.777
NC_044905.1	21875316	41.0385	392.704
NC_044905.1	21876248	35.6016	266.857
NC_044905.1	23781805	17.5632	125.316
NC_044905.1	23782314	38.9203	303.815
NC_044905.1	23783875	19.0661	138.288
NC_044905.1	23786453	39.8791	433.208
NC_044905.1	25081099	19.4011	257.81
NC_044905.1	26056816	9.19337	24.8822
NC_044905.1	26058119	12.6364	52.3094
NC_044905.1	26058687	30.761	197.257
NC_044905.1	26059211	10.8785	57.7968
NC_044905.1	26059711	30.9725	191.068
NC_044905.1	26062189	11.0028	50.9807
NC_044905.1	26062762	14.7115	53.2582
NC_044905.1	26063320	11.6423	59.0722
NC_044905.1	26064410	41.8407	353.148
NC_044905.1	26123197	12.2786	79.7546
NC_044905.1	26124473	41.7802	408.018
NC_044905.1	27367028	22.3352	203.408
NC_044905.1	27368214	35.283	366.76
NC_044905.1	27369153	12.8929	55.286
NC_044905.1	27369656	32.9148	231.472
NC_044905.1	27371030	43.9863	412.239
NC_044905.1	27372810	12.7528	82.9833
NC_044905.1	27374635	40.5137	426.653
NC_044905.1	28083279	17.5879	85.3394
NC_044905.1	28084064	40.1621	379.128
NC_044905.1	28087201	16.0522	74.4132
NC_044905.1	28087734	12.3984	54.7858
NC_044905.1	29596231	23.3022	182.955
NC_044905.1	29598757	36.3379	276.814
NC_044905.1	29599300	39.1016	320.527
NC_044905.1	29599800	22.0277	157.96
NC_044905.1	29600300	22.2204	117.824
NC_044905.1	32104679	9.52941	31.5813
NC_044905.1	34047960	24.6396	248.896
NC_044905.1	34775576	10.8184	46.9053
NC_044905.1	34776133	41.9478	342.044
NC_044905.1	35072056	13.2865	72.0022
NC_044905.1	35197971	13.5333	92.9066
NC_044905.1	35199198	18.6782	158.847
NC_044905.1	36070767	10.8607	37.4666
NC_044905.1	36071435	43.3984	365.921
NC_044905.1	36071936	13.7845	100.153
NC_044905.1	36072875	38.739	328.926
NC_044905.1	36074768	9.46409	28.1497
NC_044905.1	36075268	18.9451	92.2229
NC_044905.1	36075770	12.6694	50.3324
NC_044905.1	36182381	10.1111	41.9431
NC_044905.1	36183408	10.3712	39.6285
NC_044905.1	36205752	10.9254	61.0831
NC_044905.1	39590167	10.7466	48.7201
NC_044905.1	39590686	20.761	117.934
NC_044905.1	42450934	10.3861	38.104
NC_044905.1	42451438	42.1099	340.682
NC_044905.1	42451967	40.2143	327.139
NC_044905.1	42454034	45.4973	420.455
NC_044905.1	46589120	10.493	45.9434
NC_044905.1	46589622	15.9917	79.5441
NC_044905.1	46873706	18.4203	95.203
NC_044905.1	46875210	40.6868	352.089
NC_044905.1	51532285	14.1212	71.3775
NC_044905.1	51532794	14.1923	65.3734
NC_044905.1	51537708	14.0677	54.1436
NC_044905.1	51538216	21.8874	124.354
NC_044905.1	51540200	14.2397	56.4314
NC_044905.1	51540726	15.8269	71.7468
NC_044905.1	51543198	11.0358	39.3495
NC_044905.1	51543704	19.261	105.653
NC_044905.1	51544745	8.94231	24.8259
NC_044905.1	56191252	15.6071	90.8728
NC_044905.1	56191792	42.761	384.061
NC_044905.1	56192334	11.1765	52.1401
NC_044905.1	56192835	22.9863	178.906
NC_044905.1	56193339	27.5302	179.219
NC_044905.1	56194300	9.573	30.1569
NC_044905.1	57719233	9.5419	30.5683
NC_044905.1	57720965	37.772	329.433
NC_044905.1	57721467	15.6786	71.5355
NC_044905.1	57968041	21.8871	299.095
NC_044905.1	57968560	12.772	44.5567
NC_044905.1	57969454	10.9862	38.9805
NC_044905.1	57974481	9.64641	31.5755
NC_044905.1	60110588	10.3508	43.1868
NC_044905.1	60112232	13.1786	71.5961
NC_044905.1	61526761	12.446	64.8005
NC_044905.1	61716966	10.511	45.137
NC_044905.1	61717686	41.8462	411.001
NC_044905.1	61912377	13.5978	87.3184
NC_044905.1	61912892	33.6071	252.724
NC_044905.1	61913423	10.3571	33.0567
NC_044905.1	62249415	9.57778	33.37
NC_044905.1	62249939	36.1868	259.915
NC_044905.1	62250883	10.5138	49.1203
NC_044905.1	62251436	40.0797	381.853
NC_044905.1	62254150	9.29917	25.038
NC_044905.1	62255116	41.022	359.002
NC_044905.1	62837292	19.1648	86.7661
NC_044905.1	62839272	41.2995	347.924
NC_044905.1	62860087	14.5207	102.919
NC_044905.1	62860756	42.7775	429.793
NC_044905.1	63898765	14.0467	63.0694
NC_044905.1	63899269	23.3681	119.93
NC_044905.1	63899779	19.4945	101.193
NC_044905.1	63907111	11.3187	50.3665
NC_044905.1	63915434	9.65826	31.7087
NC_044905.1	63917387	10.0249	30.241
NC_044905.1	63917899	30.5962	225.916
NC_044905.1	63919339	9.78453	30.2471
NC_044905.1	63919901	12.2287	43.5967
NC_044905.1	63921009	9.1326	29.5281
NC_044905.1	63924638	16.0083	106.588
NC_044905.1	63925149	19.7912	144.766
NC_044905.1	64658919	13.0687	46.6977
NC_044905.1	64659757	38.0852	309.141
NC_044905.1	64789337	10.9584	42.1566
NC_044905.1	64789919	40.3846	374.166
NC_044905.1	64791310	16.5522	116.727
NC_044905.1	64791872	38.6896	377.173
NC_044905.1	64794741	9.5427	32.0444
NC_044905.1	64795274	18.1236	89.2657
NC_044905.1	64798520	10.5304	43.4686
NC_044905.1	67846617	10.2753	46.7409
NC_044905.1	67872715	18.5153	132.396
NC_044905.1	67873400	41.6264	380.284
NC_044905.1	67874343	10.8343	41.0583
NC_044905.1	67874887	12.7493	73.7023
NC_044905.1	67875444	41.9423	372.313
NC_044905.1	67875952	24.5128	197.599
NC_044905.1	67878097	10.7194	43.1996
NC_044905.1	67878600	21.8571	145.715
NC_044905.1	68112249	10.0634	30.8717
NC_044905.1	68112762	18.6566	82.2536
NC_044905.1	68113269	20.5577	128.369
NC_044905.1	68113771	35.5824	296.167
NC_044905.1	68115673	9.7883	35.3349
NC_044905.1	68580326	10.7577	50.8769
NC_044905.1	72697755	16.8407	108.068
NC_044905.1	72698494	40.2033	388.058
NC_044905.1	72698999	28.9835	230.385
NC_044905.1	72699658	43.011	380.81
NC_044905.1	72700798	9.29972	25.7723
NC_044905.1	72701302	17.3462	88.3371
NC_044905.1	72729782	10.3278	44.4104
NC_044905.1	72764204	13.5856	97.3458
NC_044905.1	72765710	42.3516	327.331
NC_044905.1	72766652	10.3251	38.8388
