sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
IL-LAKESTOREY-NS10	OAK-MOR-000747	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois:Knox County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000747_S274_L007_R1_001.fastq.gz	OAK-MOR-000747_S274_L007_R2_001.fastq.gz				
IL-LAKESTOREY-NS11	OAK-MOR-000748	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois:Knox County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000748_S264_L007_R1_001.fastq.gz	OAK-MOR-000748_S264_L007_R2_001.fastq.gz				
IL-LAKESTOREY-NS12	OAK-MOR-000749	HybSeq using Quercus custom baits of Quercus xbebbiana from USA:Illinois:Knox County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000749_S272_L007_R1_001.fastq.gz	OAK-MOR-000749_S272_L007_R2_001.fastq.gz				
IL-LAKESTOREY-NS13	OAK-MOR-000750	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois:Knox County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000750_S276_L007_R1_001.fastq.gz	OAK-MOR-000750_S276_L007_R2_001.fastq.gz				
IL-LAKESTOREY-NS14	OAK-MOR-000751	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois:Knox County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000751_S278_L007_R1_001.fastq.gz	OAK-MOR-000751_S278_L007_R2_001.fastq.gz				
IL-LAKESTOREY-NS15	OAK-MOR-000752	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois:Knox County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000752_S281_L007_R1_001.fastq.gz	OAK-MOR-000752_S281_L007_R2_001.fastq.gz				
IL-LAKESTOREY-NS16	OAK-MOR-000753	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois:Knox County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000753_S275_L007_R1_001.fastq.gz	OAK-MOR-000753_S275_L007_R2_001.fastq.gz				
IL-LAKESTOREY-NS17	OAK-MOR-000754	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois:Knox County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000754_S249_L007_R1_001.fastq.gz	OAK-MOR-000754_S249_L007_R2_001.fastq.gz				
IL-LAKESTOREY-NS18	OAK-MOR-000755	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois:Knox County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000755_S258_L007_R1_001.fastq.gz	OAK-MOR-000755_S258_L007_R2_001.fastq.gz				
IL-LAKESTOREY-NS19	OAK-MOR-000756	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois:Knox County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000756_S256_L007_R1_001.fastq.gz	OAK-MOR-000756_S256_L007_R2_001.fastq.gz				
IL-LAKESTOREY-NS20	OAK-MOR-000757	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois:Knox County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000757_S270_L007_R1_001.fastq.gz	OAK-MOR-000757_S270_L007_R2_001.fastq.gz				
IL-PPWS-NS1	OAK-MOR-000758	HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois:Kane County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000758_S288_L007_R1_001.fastq.gz	OAK-MOR-000758_S288_L007_R2_001.fastq.gz				
IL-PPWS-NS2	OAK-MOR-000759	HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois:Kane County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000759_S263_L007_R1_001.fastq.gz	OAK-MOR-000759_S263_L007_R2_001.fastq.gz				
IL-PPWS-NS3	OAK-MOR-000760	HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois:Kane County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000760_S284_L007_R1_001.fastq.gz	OAK-MOR-000760_S284_L007_R2_001.fastq.gz				
IL-PPWS-NS4	OAK-MOR-000761	HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois:Kane County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000761_S271_L007_R1_001.fastq.gz	OAK-MOR-000761_S271_L007_R2_001.fastq.gz				
IL-PPWS-NS5	OAK-MOR-000762	HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois:Kane County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000762_S247_L007_R1_001.fastq.gz	OAK-MOR-000762_S247_L007_R2_001.fastq.gz				
IL-PPWS-NS7	OAK-MOR-000764	HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois:Kane County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000764_S243_L007_R1_001.fastq.gz	OAK-MOR-000764_S243_L007_R2_001.fastq.gz				
IL-PPWS-NS8	OAK-MOR-000765	HybSeq using Quercus custom baits of Quercus bicolor from USA:Illinois:Kane County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000765_S260_L007_R1_001.fastq.gz	OAK-MOR-000765_S260_L007_R2_001.fastq.gz				
IL-PPWS-NS9	OAK-MOR-000766	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Illinois:Kane County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000766_S230_L007_R1_001.fastq.gz	OAK-MOR-000766_S230_L007_R2_001.fastq.gz				
WI-PINERIVER-NS1	OAK-MOR-000767	HybSeq using Quercus custom baits of Quercus bicolor from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000767_S211_L007_R1_001.fastq.gz	OAK-MOR-000767_S211_L007_R2_001.fastq.gz				
WI-PINERIVER-NS2	OAK-MOR-000768	HybSeq using Quercus custom baits of Quercus bicolor from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000768_S235_L007_R1_001.fastq.gz	OAK-MOR-000768_S235_L007_R2_001.fastq.gz				
WI-PINERIVER-NS3	OAK-MOR-000769	HybSeq using Quercus custom baits of Quercus bicolor from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000769_S206_L007_R1_001.fastq.gz	OAK-MOR-000769_S206_L007_R2_001.fastq.gz				
WI-PINERIVER-NS4	OAK-MOR-000770	HybSeq using Quercus custom baits of Quercus bicolor from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000770_S213_L007_R1_001.fastq.gz	OAK-MOR-000770_S213_L007_R2_001.fastq.gz				
WI-PINERIVER-NS6	OAK-MOR-000772	HybSeq using Quercus custom baits of Quercus bicolor from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000772_S200_L007_R1_001.fastq.gz	OAK-MOR-000772_S200_L007_R2_001.fastq.gz				
WI-PINERIVER-NS7	OAK-MOR-000773	HybSeq using Quercus custom baits of Quercus bicolor from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000773_S241_L007_R1_001.fastq.gz	OAK-MOR-000773_S241_L007_R2_001.fastq.gz				
WI-PINERIVER-NS8	OAK-MOR-000774	HybSeq using Quercus custom baits of Quercus bicolor from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000774_S208_L007_R1_001.fastq.gz	OAK-MOR-000774_S208_L007_R2_001.fastq.gz				
WI-PINERIVER-NS9	OAK-MOR-000775	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000775_S189_L007_R1_001.fastq.gz	OAK-MOR-000775_S189_L007_R2_001.fastq.gz				
WI-PINERIVER-NS10	OAK-MOR-000776	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000776_S197_L007_R1_001.fastq.gz	OAK-MOR-000776_S197_L007_R2_001.fastq.gz				
WI-PINERIVER-NS11	OAK-MOR-000777	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000777_S254_L007_R1_001.fastq.gz	OAK-MOR-000777_S254_L007_R2_001.fastq.gz				
WI-PINERIVER-NS12	OAK-MOR-000778	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000778_S286_L007_R1_001.fastq.gz	OAK-MOR-000778_S286_L007_R2_001.fastq.gz				
WI-PINERIVER-NS13	OAK-MOR-000779	HybSeq using Quercus custom baits of Quercus bicolor from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000779_S195_L007_R1_001.fastq.gz	OAK-MOR-000779_S195_L007_R2_001.fastq.gz				
WI-PINERIVER-NS14	OAK-MOR-000780	HybSeq using Quercus custom baits of Quercus bicolor from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000780_S204_L007_R1_001.fastq.gz	OAK-MOR-000780_S204_L007_R2_001.fastq.gz				
WI-PINERIVER-NS15	OAK-MOR-000781	HybSeq using Quercus custom baits of Quercus bicolor from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000781_S218_L007_R1_001.fastq.gz	OAK-MOR-000781_S218_L007_R2_001.fastq.gz				
WI-PINERIVER-NS16	OAK-MOR-000782	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000782_S223_L007_R1_001.fastq.gz	OAK-MOR-000782_S223_L007_R2_001.fastq.gz				
WI-PINERIVER-NS17	OAK-MOR-000783	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000783_S190_L007_R1_001.fastq.gz	OAK-MOR-000783_S190_L007_R2_001.fastq.gz				
WI-PINERIVER-NS18	OAK-MOR-000784	HybSeq using Quercus custom baits of Quercus bicolor from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000784_S198_L007_R1_001.fastq.gz	OAK-MOR-000784_S198_L007_R2_001.fastq.gz				
WI-PINERIVER-NS19	OAK-MOR-000785	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000785_S233_L007_R1_001.fastq.gz	OAK-MOR-000785_S233_L007_R2_001.fastq.gz				
WI-PINERIVER-NS20	OAK-MOR-000786	HybSeq using Quercus custom baits of Quercus bicolor from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000786_S219_L007_R1_001.fastq.gz	OAK-MOR-000786_S219_L007_R2_001.fastq.gz				
WI-PINERIVER-NS21	OAK-MOR-000787	HybSeq using Quercus custom baits of Quercus bicolor from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000787_S205_L007_R1_001.fastq.gz	OAK-MOR-000787_S205_L007_R2_001.fastq.gz				
WI-PINERIVER-NS22	OAK-MOR-000788	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000788_S215_L007_R1_001.fastq.gz	OAK-MOR-000788_S215_L007_R2_001.fastq.gz				
WI-PINERIVER-NS23	OAK-MOR-000789	HybSeq using Quercus custom baits of Quercus bicolor from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000789_S187_L007_R1_001.fastq.gz	OAK-MOR-000789_S187_L007_R2_001.fastq.gz				
WI-PINERIVER-NS24	OAK-MOR-000790	HybSeq using Quercus custom baits of Quercus bicolor from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000790_S207_L007_R1_001.fastq.gz	OAK-MOR-000790_S207_L007_R2_001.fastq.gz				
WI-PINERIVER-NS25	OAK-MOR-000791	HybSeq using Quercus custom baits of Quercus bicolor from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000791_S188_L007_R1_001.fastq.gz	OAK-MOR-000791_S188_L007_R2_001.fastq.gz				
WI-PINERIVER-NS26	OAK-MOR-000792	HybSeq using Quercus custom baits of Quercus bicolor from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000792_S266_L007_R1_001.fastq.gz	OAK-MOR-000792_S266_L007_R2_001.fastq.gz				
WI-PINERIVER-NS27	OAK-MOR-000793	HybSeq using Quercus custom baits of Quercus bicolor from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000793_S201_L007_R1_001.fastq.gz	OAK-MOR-000793_S201_L007_R2_001.fastq.gz				
WI-PINERIVER-NS28	OAK-MOR-001072	HybSeq using Quercus custom baits of Quercus bicolor from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-001072_S279_L007_R1_001.fastq.gz	OAK-MOR-001072_S279_L007_R2_001.fastq.gz				
WI-PINERIVER-NS29	OAK-MOR-000795	HybSeq using Quercus custom baits of Quercus bicolor from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000795_S217_L007_R1_001.fastq.gz	OAK-MOR-000795_S217_L007_R2_001.fastq.gz				
WI-PINERIVER-NS30	OAK-MOR-000796	HybSeq using Quercus custom baits of Quercus bicolor from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000796_S234_L007_R1_001.fastq.gz	OAK-MOR-000796_S234_L007_R2_001.fastq.gz				
WI-PINERIVER-NS31	OAK-MOR-000797	HybSeq using Quercus custom baits of Quercus bicolor from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000797_S277_L007_R1_001.fastq.gz	OAK-MOR-000797_S277_L007_R2_001.fastq.gz				
WI-PINERIVER-NS32	OAK-MOR-000798	HybSeq using Quercus custom baits of Quercus xschuettei from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000798_S246_L007_R1_001.fastq.gz	OAK-MOR-000798_S246_L007_R2_001.fastq.gz				
WI-PINERIVER-NS33	OAK-MOR-000799	HybSeq using Quercus custom baits of Quercus macrocarpa from USA:Wisconsin:Richland County	Targeted-Capture	GENOMIC	Reduced Representation	paired	ILLUMINA	Illumina HiSeq 4000	target enrichment using Quercus Hyb-Seq 2017 custom baits and genome skimming (Hyb-Seq)	fastq	OAK-MOR-000799_S229_L007_R1_001.fastq.gz	OAK-MOR-000799_S229_L007_R2_001.fastq.gz				
